model,scope,fold,cohort_type,threshold,case_count,macro_case_dice,median_case_dice,zero_dice_case_count,case_dice_lt_0_30_count,voxel_dice,voxel_sensitivity,voxel_precision,tp,fp,fn
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.1,366,0.6875196750587227,0.7641800178330289,12,37,0.8028663696855722,0.9015606842370211,0.7236482241841723,7541657.0,2880060.0,823456.0
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.2,366,0.6906246903593557,0.7692334247651904,12,35,0.8143998164420739,0.8872310511525666,0.7526186746840118,7421788.0,2439498.0,943325.0
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.3,366,0.6915475156348795,0.7690286820614338,13,35,0.8199049864708717,0.8776440915980454,0.7692940920546847,7341592.0,2201692.0,1023521.0
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.4,366,0.6916237698646822,0.765581836566501,14,35,0.8234812521172662,0.869456874043423,0.7821236830148911,7273105.0,2026070.0,1092008.0
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.5,366,0.6913962035774335,0.7635574872055372,14,35,0.8261592421716605,0.8615289476663376,0.7935791853454727,7206787.0,1874584.0,1158326.0
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.6,366,0.6908705096482937,0.7631450722626645,15,35,0.8280540250675998,0.853013701070147,0.8045134932952097,7135556.0,1733849.0,1229557.0
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.7,366,0.6903394932673356,0.7630658087468299,16,36,0.8292496323710588,0.8428650037363512,0.8160671450339446,7050661.0,1589144.0,1314452.0
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.8,366,0.6889716319747806,0.7634241015132408,16,39,0.8291811354686469,0.8288683010020307,0.8294942061666499,6933577.0,1425224.0,1431536.0
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.9,366,0.6860799652250663,0.764112679109989,17,39,0.8252763008087716,0.8027500644641621,0.8491032698548578,6715095.0,1193360.0,1650018.0
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.05,617,0.5697937557621776,0.6766659524319691,58,136,0.7708156842681272,0.8625162734024674,0.6967400153751451,9824508.0,4276172.0,1566011.0
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.1,617,0.5725981019263694,0.6745843230403801,60,135,0.7827532541202765,0.8441242229612189,0.7297012600250307,9615013.0,3561630.0,1775506.0
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.2,617,0.5736185852877558,0.679970436067997,64,135,0.7899814338733322,0.8244124784832016,0.7583110710432059,9390486.0,2992936.0,2000033.0
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.3,617,0.5735806659965718,0.6845901523702032,65,135,0.7927303958756607,0.8116977812863487,0.7746292119712862,9245659.0,2689934.0,2144860.0
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.4,617,0.5733286708567225,0.6848202196479615,66,139,0.7941424288700667,0.801346101964274,0.7870671162247742,9127748.0,2469418.0,2262771.0
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.5,617,0.572930557675036,0.6833836858006043,69,139,0.794659284315361,0.7914259218565897,0.7979191748925856,9014752.0,2283074.0,2375767.0
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.6,617,0.5722698921748295,0.6846655543758532,71,141,0.7943579117731538,0.7809578299285572,0.8082258729242654,8895515.0,2110709.0,2495004.0
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.7,617,0.5711818511104556,0.6828325426111403,77,141,0.792883990999603,0.768512655130113,0.8188516957218633,8753758.0,1936527.0,2636761.0
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.8,617,0.569759281539108,0.6821813129558875,78,141,0.7895121479628243,0.7517338762175806,0.8312884212844049,8562639.0,1737804.0,2827880.0
